"geoid","income","buildingAge","area","higherEduRate","marriageRate","commuteTime","liveAloneRate","maleRate","avgAge","Site_EUI__","BBL","buildingType"
360610089004,134988.938053097,14,147133,0.799744897959184,0.0813704496788009,42.0106194690266,0.548672566371681,0.644554455445545,36.4163366336634,67,1007187501,"Multifamily Housing"
360610093006,46070.7591377694,109,97563,0.149149149149149,0.199048374306106,48.3290662650602,0.301780693533271,0.475713184271396,29.8325623233102,61.7,1007237501,"Multifamily Housing"
360610097002,39261.6580310881,76,0,0.153846153846154,0.153755868544601,35.0847953216374,0.494818652849741,0.494960806270997,46.553751399776,115.9,1007240010,"Multifamily Housing"
360610063003,101465.303593556,100,168806,0.755898366606171,0.184367034834325,28.985835694051,0.622057001239157,0.478070175438596,43.3508771929825,40.6,1005730039,"Multifamily Housing"
360610111002,86547.433903577,34,64449,0.65521327014218,0.0643863179074447,38.9746121297602,0.662519440124417,0.533199195171026,42.5357142857143,93.8,1007320058,"Multifamily Housing"
360610063002,125413.950456323,94,141877,0.86231884057971,0.176623376623377,28.1478029294274,0.542372881355932,0.446469248291572,43.9794988610478,96.9,1005740039,"Multifamily Housing"
360610037001,138175.675675676,38,79136,0.723823975720789,0.190995907230559,27.4871794871795,0.272972972972973,0.583606557377049,34.7513661202186,55.2,1005947501,"Multifamily Housing"
360610039001,147668.965517241,97,55352,0.933159722222222,0.293469708890637,27.8345238095238,0.40551724137931,0.548969072164949,34.8717783505155,39,1005950016,"Multifamily Housing"
360610063002,125413.950456323,92,120467,0.86231884057971,0.176623376623377,28.1478029294274,0.542372881355932,0.446469248291572,43.9794988610478,92.5,1005750017,"College/University"
360610037001,138175.675675676,93,56614,0.723823975720789,0.190995907230559,27.4871794871795,0.272972972972973,0.583606557377049,34.7513661202186,107.9,1005957501,"Office"
360610037001,138175.675675676,123,59615,0.723823975720789,0.190995907230559,27.4871794871795,0.272972972972973,0.583606557377049,34.7513661202186,55.1,1005970001,"Office"
360610037001,138175.675675676,115,374584,0.723823975720789,0.190995907230559,27.4871794871795,0.272972972972973,0.583606557377049,34.7513661202186,66.6,1005970012,"Office"
360610063001,126172.566371681,60,235875,0.942408376963351,0.170745589072282,27.9259589652096,0.652212389380531,0.41855561412757,39.6502372166579,77.4,1005760025,"Multifamily Housing"
360610063001,126172.566371681,64,71215,0.942408376963351,0.170745589072282,27.9259589652096,0.652212389380531,0.41855561412757,39.6502372166579,71.9,1005760049,"Multifamily Housing"
